,Identificador,SMILES,Nombre,EGFR,MAPK1,SRC,STAT3,mean,BBB,Targets,peso_molecular,logP,donadores_H,aceptores_H,violaciones
43,CNP0237904.1,C/C(=C/CC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(=O)O,,0.92242855,0.9151587,0.23,0.1351909391203981,0.5506945472800995,0.185,EGFR MAPK1,454.69500000000033,7.607900000000009,1.0,2.0,1.0
44,CNP0237904.2,C/C(=C\CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O,"(E,6S)-2-methyl-6-[(10R,13S,14S,17S)-4,4,10,13,14-pentamethyl-3-oxo-1,2,5,6,9,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]hept-2-enoic acid",0.92242855,0.9151587,0.23,0.1351909391203981,0.5506945472800995,0.185,EGFR MAPK1,454.69500000000033,7.607900000000009,1.0,2.0,1.0
86,CNP0157919.1,C[C@H](CC[C@@H](O)C(C)(C)O)[C@@H]1CC[C@@]2(C(=O)O)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C,,0.92858183,0.92676836,0.17,0.0535296469470498,0.5197199592367625,0.1,EGFR MAPK1,488.70900000000046,5.6074000000000055,3.0,4.0,1.0
87,CNP0120211.1,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@@]4(C)C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,0.9454263,0.9449404,0.26,0.0331666992808012,0.5458833498202004,0.265,EGFR MAPK1,438.74000000000035,8.933300000000003,0.0,1.0,1.0
93,CNP0288260.1,CC(C)=CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C,,0.93952036,0.91961145,0.21,0.0694825698055473,0.5346535949513869,0.17,EGFR MAPK1,424.7130000000003,8.543200000000006,0.0,1.0,1.0
177,CNP0297963.1,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C(=O)O)[C@H](CCC4[C@@]5(C)CCC(=O)C(C)(C)C5CC[C@]43C)C12,NCGC00347703-02,0.9791901,0.90836287,0.18,0.0683769708702601,0.533982485217565,0.25,EGFR MAPK1,484.6770000000004,6.362400000000007,2.0,3.0,1.0
227,CNP0274128.1,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C,,0.92622215,0.91634506,0.11,0.0942220520407306,0.5116973155101826,0.275,EGFR MAPK1,424.71300000000036,8.377100000000006,0.0,1.0,1.0
238,CNP0237904.3,C/C(=C/CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C)C(=O)O,,0.92242855,0.9151587,0.23,0.1351909391203981,0.5506945472800995,0.185,EGFR MAPK1,454.69500000000033,7.607900000000009,1.0,2.0,1.0
303,CNP0226888.1,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CCC(=O)[C@@](C)(CO)C5CC[C@]43C)C12,"(1R,2R,5S,8R,14R,18R)-18-(hydroxymethyl)-1,2,14,18-tetramethyl-17-oxo-8-(prop-1-en-2-yl)pentacyclo[11.8.0.0^{2,10}.0^{5,9}.0^{14,19}]henicosane-5-carboxylic acid",0.90462035,0.9231476,0.19,0.0327823381228448,0.5126375720307113,0.0633333333333333,EGFR MAPK1,470.69400000000036,6.270100000000007,2.0,3.0,1.0
359,CNP0213802.1,CC(CC/C=C(/CO)C(=O)O)[C@H]1CCC2C3CCC4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@@]21C,,0.9124157,0.95164007,0.162,0.0798392542318497,0.5264737560579624,0.1083333333333333,EGFR MAPK1,456.66700000000037,6.024100000000007,2.0,3.0,1.0
