Identificador,SMILES,Nombre,EGFR,MAPK1,SRC,STAT3,mean,BBB,Targets,peso_molecular,logP,donadores_H,aceptores_H,violaciones,Targets_nuevo
CNP0176537.1,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(=O)N[C@@H]4O,7-Hydroxystaurosporine,0.9534271,0.80320066,1.0,0.0935674974336998,0.7125488143584249,0.1,EGFR SRC,482.54000000000025,3.844900000000002,3.0,7.0,0.0,EGFR_SRC
CNP0337060.1,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)N1C3=CC=CC=C3C3=C4C(=O)NC(=O)C4=C4C5=CC=CC=C5N2C4=C31,"(2R,3S,4S,6S)-3-methoxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaene-16,18-dione",0.9035358,0.7853712,1.0,0.1034749404127217,0.6980954851031804,0.0599999999999999,EGFR SRC,480.5240000000003,3.994200000000002,2.0,7.0,0.0,EGFR_SRC
CNP0176537.2,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(=O)N[C@H]4O,UCN-02,0.9534271,0.80320066,1.0,0.0935674974336998,0.7125488143584249,0.1,EGFR SRC,482.54000000000025,3.844900000000002,3.0,7.0,0.0,EGFR_SRC
CNP0337060.2,CN[C@H]1C[C@@H]2O[C@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=O)NC(=O)C4=C4C5=CC=CC=C5N2C4=C31,RK-1409,0.9035358,0.7853712,1.0,0.1034749404127217,0.6980954851031804,0.15,EGFR SRC,480.5240000000003,3.994200000000002,2.0,7.0,0.0,EGFR_SRC
CNP0482174.1,CN[C@H]1CC2OC(C)([C@H]1OC)N1C3=CC=CC=C3C3=C4C(=O)N=C(O)C4=C4C5=CC=CC=C5N2C4=C31,RK-1409,0.9433842,0.79139656,0.9002000000000001,0.3546396780076218,0.7474051095019055,0.0,EGFR SRC,480.5240000000003,4.569000000000004,2.0,6.0,0.0,EGFR_SRC
CNP0550598.1,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(O)=N[C@H]4O,7-epi-Hydroxystaurosporine,0.9784126,0.805329,0.9002000000000001,0.331603198271322,0.7538861995678304,0.11,EGFR SRC,482.54000000000025,4.419700000000003,3.0,7.0,0.0,EGFR_SRC
CNP0586714.1,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4CN=C(O)C4=C4C5=CC=CC=C5N2C4=C31,(+)-Staurosporine,0.95975447,0.7702819,0.95,0.3557696294697027,0.7589514998674256,0.06,EGFR SRC,466.5410000000003,4.928800000000004,2.0,6.0,0.0,EGFR_SRC
CNP0586714.2,CN[C@H]1CC2OC(C)([C@H]1OC)N1C3=CC=CC=C3C3=C4CN=C(O)C4=C4C5=CC=CC=C5N2C4=C31,62996-74-1,0.95975447,0.7702819,0.95,0.3557696294697027,0.7589514998674256,0.0,EGFR SRC,466.5410000000003,4.928800000000004,2.0,6.0,0.0,EGFR_SRC
CNP0176537.3,CN[C@H]1C[C@@H]2O[C@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(=O)N[C@@H]4O,,0.9534271,0.80320066,1.0,0.0935674974336998,0.7125488143584249,0.0,EGFR SRC,482.54000000000025,3.844900000000002,3.0,7.0,0.0,EGFR_SRC
CNP0176537.4,CN[C@H]1C[C@H]2O[C@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(=O)N[C@H]4O,7-Hydroxystaurosporine,0.9534271,0.80320066,1.0,0.0935674974336998,0.7125488143584249,0.0,EGFR SRC,482.54000000000025,3.844900000000002,3.0,7.0,0.0,EGFR_SRC
CNP0337060.3,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=O)NC(=O)C4=C4C5=CC=CC=C5N2C4=C31,7-oxostaurosporine,0.9035358,0.7853712,1.0,0.1034749404127217,0.6980954851031804,0.03,EGFR SRC,480.5240000000003,3.994200000000002,2.0,7.0,0.0,EGFR_SRC
CNP0176537.5,CN[C@H]1C[C@H]2O[C@](C)([C@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(=O)N[C@@H]4O,,0.9534271,0.80320066,1.0,0.0935674974336998,0.7125488143584249,0.2783333333333333,EGFR SRC,482.54000000000025,3.844900000000002,3.0,7.0,0.0,EGFR_SRC
CNP0550598.2,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)N1C3=CC=CC=C3C3=C4C(=C5C6=CC=CC=C6N2C5=C31)C(O)=N[C@@H]4O,"(2~{S},3~{R},4~{R},6~{R},18~{R})-3-methoxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.1^{2,6}.0^{7,28}.0^{8,13}.0^{15,19}.0^{20,27}.0^{21,26}]nonacosa-8,10,12,14,16,19,21,23,25,27-decaene-16,18-diol",0.9784126,0.805329,0.9002000000000001,0.331603198271322,0.7538861995678304,0.0,EGFR SRC,482.54000000000025,4.419700000000003,3.0,7.0,0.0,EGFR_SRC
CNP0542055.0,COC1=CC2=C(NC3=C(Cl)C=CC4=C3OCO4)N=CN=C2C=C1OCCCN1CCCCC1,"N-(5-chloro-1,3-benzodioxol-4-yl)-6-methoxy-7-(3-piperidin-1-ylpropoxy)quinazolin-4-amine",0.94683087,0.029634494,0.94,0.1652882206853431,0.5204383961713358,0.055,EGFR SRC,470.9570000000004,5.018900000000004,1.0,8.0,1.0,EGFR_SRC
CNP0506861.1,C=CC(=O)N1CCC[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C1,Ibrutinib,0.94094056,0.3158968,1.0,0.8789326781336401,0.78394250953341,0.3,EGFR SRC,440.5070000000002,4.2173000000000025,1.0,7.0,0.0,EGFR_SRC
IMYZQPCYWPFTAG,CNC1(C)C2CCC(C2)C1(C)C,MECAMYLAMINE HYDROCHLORIDE,0.9534271,0.80320066,1.0,0.0935674974336998,0.7125488143584249,0.9133333333333334,EGFR SRC,167.296,2.4206000000000003,1.0,1.0,0.0,EGFR_SRC
DCMJBKFKXGPPMT,CN(C)CCOC(c1ccccc1)c1ccnn1C,Cizolirtine citrate,0.94094056,0.3158968,1.0,0.8789326781336401,0.78394250953341,0.84,EGFR SRC,259.353,2.0877,0.0,4.0,0.0,EGFR_SRC
MOFKIKISDIQWLD,CCCCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]12C,LPCN-1111,0.98790663,0.18236244,1.0,0.1558488681468408,0.5815294845367102,0.4083333333333334,EGFR SRC,484.7650000000004,8.741100000000005,0.0,3.0,1.0,EGFR_SRC
MHUUDVZSPFRUSK,NC(=O)N/N=C/c1ccc(Oc2ccc(F)cc2)cc1,V-102862,0.94515514,0.8003466,1.0,0.0178419982456474,0.6908359345614118,0.355,EGFR SRC,273.267,2.6202000000000005,2.0,3.0,0.0,EGFR_SRC
