Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones,Targets_nuevo,after_P_
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC(C)C)n3)[nH]c12,EGFR P MAPK1,CHEMBL5079430,1.3,0.9561827182769777,0.56,0.141850926749537,0.0,0.075,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC(C)C)n3)[nH]c12,486.57600000000014,3.792100000000002,3.0,6.0,0.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCCCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5272747,13.2,0.9125145673751832,0.46,0.2602336578575935,0.0,0.305,C=CC(=O)N1CCCCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,479.6280000000001,7.105200000000007,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5287438,0.34,0.9125145673751832,0.46,0.2602336578575935,0.0,0.04,C=CC(=O)N1CCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,437.54700000000014,5.934900000000005,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5274514,0.55,0.9125145673751832,0.46,0.2602336578575935,0.0,0.06,C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,451.5740000000001,6.3250000000000055,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(-c4cccc(OC)c4)n3)[nH]c12,EGFR P MAPK1,CHEMBL5083976,32.0,0.9227632880210876,0.5175806451612903,0.117600879775689,0.0,0.06,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(-c4cccc(OC)c4)n3)[nH]c12,443.5070000000001,2.9369000000000005,2.0,5.0,0.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)Nc1cccc(-c2c(C)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,EGFR P MAPK1,CHEMBL4448691,1322.0,0.9042071104049684,0.31,0.2959138803087568,0.0,0.16,C=CC(=O)Nc1cccc(-c2c(C)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,414.4650000000001,4.468220000000002,3.0,6.0,0.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,EGFR P MAPK1,CHEMBL4646281,2360.0,0.9632142186164856,0.4475806451612903,0.6899796288230322,0.0,0.04,C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,486.52200000000016,5.920600000000004,3.0,3.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)Nc1cccc(-c2coc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,EGFR P MAPK1,CHEMBL4441440,159.0,0.915284276008606,0.45,0.321066380867542,0.0,0.1233333333333333,C=CC(=O)Nc1cccc(-c2coc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,400.4380000000001,4.1598000000000015,3.0,6.0,0.0,EGFR_P_MAPK1,MAPK1
C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,EGFR P MAPK1,CHEMBL4293145,0.7,0.9013160467147828,0.52,0.1953522571689133,0.0,0.74,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,497.5550000000004,4.834800000000003,2.0,8.0,0.0,EGFR_P_MAPK1,MAPK1
CC(C)NC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,EGFR P MAPK1,CHEMBL3622670,7.0,0.91000634431839,0.29,0.0785260368911057,0.0,0.12,CC(C)NC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,499.9740000000003,4.826300000000003,3.0,7.0,0.0,EGFR_P_MAPK1,MAPK1
