Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones,Targets_nuevo,after_P_
COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,EGFR P SRC,CHEMBL320705,66.0,0.1418655514717102,0.92,0.5489544058242377,0.0,0.32,COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,427.2910000000001,5.054500000000003,1.0,6.0,1.0,EGFR_P_SRC,SRC
COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,EGFR P SRC,CHEMBL324926,330.0,0.0804212763905525,0.98,0.5087789686744189,0.0,0.22,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,457.3170000000002,5.063100000000004,1.0,7.0,1.0,EGFR_P_SRC,SRC
CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL132348,31.0,0.8559564352035522,0.97,0.0196017752810008,0.0,0.0,CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,524.5770000000002,4.1510000000000025,2.0,7.0,1.0,EGFR_P_SRC,SRC
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,EGFR P SRC,CHEMBL1202477,100.0,0.0379024669528007,0.91,0.2246393899439736,0.0,0.235,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,540.8650000000005,4.721700000000006,1.0,7.0,1.0,EGFR_P_SRC,SRC
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,EGFR P SRC,CHEMBL4786787,40.0,0.0151124633848667,0.92,0.5741865470528842,0.0,0.26,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,573.7270000000002,3.804300000000003,2.0,10.0,1.0,EGFR_P_SRC,SRC
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,EGFR P SRC,CHEMBL111197,30.0,0.158591479063034,0.97,0.4962407992836888,0.0,0.3425,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,427.2910000000001,5.054500000000003,1.0,6.0,1.0,EGFR_P_SRC,SRC
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,EGFR P SRC,CHEMBL111434,670.0,0.0961012169718742,0.95,0.462025470804443,0.0,0.2966666666666666,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,476.1610000000001,5.808400000000002,1.0,5.0,1.0,EGFR_P_SRC,SRC
CN1CCN(c2ccc(Nc3ncc4cc(CNc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,EGFR P SRC,CHEMBL5188948,17.0,0.0164967123419046,0.91,0.5262668300803847,0.0,0.03,CN1CCN(c2ccc(Nc3ncc4cc(CNc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,481.6480000000003,5.6539000000000055,2.0,7.0,1.0,EGFR_P_SRC,SRC
CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL130163,2600.0,0.8480667471885681,0.98,0.0178970348672134,0.0,0.145,CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,508.5780000000003,4.612900000000003,1.0,6.0,1.0,EGFR_P_SRC,SRC
COC(=O)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL130049,2400.0,0.792951226234436,0.98,0.0215340862410256,0.0,0.2466666666666666,COC(=O)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,524.5770000000002,4.832800000000003,1.0,7.0,1.0,EGFR_P_SRC,SRC
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,EGFR P SRC,CHEMBL4795878,40.0,0.0151124633848667,0.92,0.5741865470528842,0.0,0.3783333333333333,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,573.7270000000002,3.804300000000003,2.0,10.0,1.0,EGFR_P_SRC,SRC
CNC(=S)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL337035,12500.0,0.8262639045715332,0.96,0.0267784639036826,0.0,0.4033333333333332,CNC(=S)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,539.6610000000003,4.570700000000003,2.0,6.0,1.0,EGFR_P_SRC,SRC
CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL131020,1100.0,0.801344633102417,0.93,0.0070084390205686,0.0,0.15,CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,544.6330000000002,4.0260000000000025,1.0,7.0,1.0,EGFR_P_SRC,SRC
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,EGFR P SRC,CHEMBL113023,250.0,0.1202164739370346,0.93,0.4901264397069498,0.0,0.195,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,441.31800000000015,5.362920000000004,1.0,6.0,1.0,EGFR_P_SRC,SRC
CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL338935,220.0,0.9009318947792052,0.96,0.008057394318976,0.0,0.7433333333333333,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,523.5930000000002,3.551700000000003,2.0,7.0,1.0,EGFR_P_SRC,SRC
COC(=O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL444337,1300.0,0.7862076163291931,0.93,0.0143465483390085,0.0,0.09,COC(=O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,538.6040000000003,4.239400000000003,1.0,8.0,1.0,EGFR_P_SRC,SRC
