,Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2
0,EGFR_MAPK1_0,-8.37202835,-6.98167467,7.38650894,7.09848166,0.675964773,0.619238734,Mejores_poses/bases_conjuntas/EGFR_MAPK1_0_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_0_MAPK1.pdbqt,EGFR,MAPK1
1,EGFR_MAPK1_1,-8.20100594,-7.20984697,7.36116982,6.69976425,0.366164237,0.307256877,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1_MAPK1.pdbqt,EGFR,MAPK1
2,EGFR_MAPK1_10,-7.10690355,-7.4140954,6.16407394,6.51218224,0.775842547,0.81885767,Mejores_poses/bases_conjuntas/EGFR_MAPK1_10_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_10_MAPK1.pdbqt,EGFR,MAPK1
3,EGFR_MAPK1_100,-8.77627087,-9.01747322,8.11514187,7.81839132,0.76803869,0.708038747,Mejores_poses/bases_conjuntas/EGFR_MAPK1_100_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_100_MAPK1.pdbqt,EGFR,MAPK1
4,EGFR_MAPK1_1000,-7.45665789,-7.29448223,6.42922449,6.13602304,0.912955165,0.893933535,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1000_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1000_MAPK1.pdbqt,EGFR,MAPK1
5,EGFR_MAPK1_1001,-7.58375931,-7.30487919,7.05828333,6.48861074,0.771876097,0.572826028,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1001_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1001_MAPK1.pdbqt,EGFR,MAPK1
6,EGFR_MAPK1_1002,-8.80774879,-8.43991184,7.12917662,7.29767227,0.502251327,0.407959312,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1002_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1002_MAPK1.pdbqt,EGFR,MAPK1
7,EGFR_MAPK1_1003,-6.84738064,-6.60628605,6.5427494,5.46916389,0.512373626,0.2976771,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1003_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1003_MAPK1.pdbqt,EGFR,MAPK1
8,EGFR_MAPK1_1004,-7.39895058,-7.81674671,7.39008474,6.55792093,0.833728194,0.514940023,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1004_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1004_MAPK1.pdbqt,EGFR,MAPK1
9,EGFR_MAPK1_1005,-7.97014236,-9.12561131,7.37810564,7.2420516,0.620457053,0.622313619,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1005_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1005_MAPK1.pdbqt,EGFR,MAPK1
10,EGFR_MAPK1_1006,-8.04796696,-6.45615053,6.9971385,7.08265877,0.494788736,0.505743861,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1006_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1006_MAPK1.pdbqt,EGFR,MAPK1
11,EGFR_MAPK1_1007,-9.05668449,-10.2948761,7.04216766,6.44732141,0.690716505,0.513668597,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1007_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1007_MAPK1.pdbqt,EGFR,MAPK1
12,EGFR_MAPK1_1008,-7.74812841,-8.66643429,5.50629807,7.41273546,0.401461393,0.51503855,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1008_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1008_MAPK1.pdbqt,EGFR,MAPK1
13,EGFR_MAPK1_1009,-6.74599314,-6.65588236,4.84516001,5.34769106,0.691547632,0.656796694,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1009_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1009_MAPK1.pdbqt,EGFR,MAPK1
14,EGFR_MAPK1_101,-8.75311947,-8.29416847,7.10033083,7.38972902,0.699211419,0.515042901,Mejores_poses/bases_conjuntas/EGFR_MAPK1_101_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_101_MAPK1.pdbqt,EGFR,MAPK1
15,EGFR_MAPK1_1010,-8.74270248,-8.34230709,7.41008902,7.29691267,0.779939651,0.705924511,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1010_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1010_MAPK1.pdbqt,EGFR,MAPK1
16,EGFR_MAPK1_1011,-6.784585,-6.17668962,6.43834686,6.62338305,0.754193366,0.659012675,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1011_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1011_MAPK1.pdbqt,EGFR,MAPK1
17,EGFR_MAPK1_1012,-7.49315596,-6.18147278,6.83542252,6.61413193,0.660491049,0.588257849,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1012_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1012_MAPK1.pdbqt,EGFR,MAPK1
18,EGFR_MAPK1_1013,-8.57575226,-8.57992172,7.38298225,7.49228811,0.483873725,0.653920114,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1013_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1013_MAPK1.pdbqt,EGFR,MAPK1
