Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2,Targets
EGFR_MAPK1_1027,-11.2043161,-10.3968697,7.94021225,7.3889823,0.730901659,0.339732438,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1027_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1027_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_1035,-9.73741245,-10.5690928,7.70048666,8.29784775,0.36803472,0.377597332,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1035_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1035_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_1036,-9.36813259,-10.5952988,6.26146507,7.11698341,0.36731112,0.554555774,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1036_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1036_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_1049,-11.0075741,-11.0259447,8.05384827,7.81295156,0.724656343,0.478807062,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1049_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1049_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_1066,-10.1411743,-10.5114393,7.03820038,7.03063726,0.473570734,0.356068403,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1066_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1066_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_1079,-9.49170589,-10.7251673,6.32930803,7.57347441,0.296380192,0.25652957,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1079_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1079_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_129,-9.49349689,-10.4248085,6.92155838,6.9231739,0.545264184,0.503628612,Mejores_poses/bases_conjuntas/EGFR_MAPK1_129_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_129_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_144,-9.40927696,-10.425663,7.39275599,7.9504509,0.567590714,0.640763998,Mejores_poses/bases_conjuntas/EGFR_MAPK1_144_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_144_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_170,-11.3168821,-10.9774599,7.68277502,7.79247808,0.976931632,0.914964736,Mejores_poses/bases_conjuntas/EGFR_MAPK1_170_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_170_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_229,-9.46144295,-10.9462328,7.56501436,8.18557358,0.81328243,0.895771682,Mejores_poses/bases_conjuntas/EGFR_MAPK1_229_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_229_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
