Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2,Targets
EGFR_MAPK1_101,-10.0274315,-10.5229015,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_101_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_101_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_114,-9.83505249,-10.3480024,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_114_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_114_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_117,-10.1952143,-10.2075586,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_117_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_117_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_134,-10.1328821,-10.2667255,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_134_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_134_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_136,-9.85268021,-10.7310305,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_136_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_136_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_146,-10.8409472,-10.3219404,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_146_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_146_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_167,-10.2345419,-10.2666483,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_167_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_167_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_180,-10.4097195,-11.1306925,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_180_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_180_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_219,-10.5712461,-10.2964249,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_219_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_219_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_223,-10.4939241,-11.0511131,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_223_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_223_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_243,-10.5188484,-10.1939058,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_243_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_243_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_247,-9.94835281,-10.2904625,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_247_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_247_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_249,-9.87252617,-10.2627716,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_249_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_249_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_250,-10.6344147,-10.5047026,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_250_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_250_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_267,-10.1535015,-10.5309048,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_267_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_267_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_277,-10.1649475,-10.2723598,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_277_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_277_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_28,-9.56924438,-10.2257071,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_28_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_28_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_288,-10.9961863,-10.3329277,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_288_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_288_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_298,-10.6315479,-10.5745802,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_298_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_298_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_300,-10.6616058,-11.0680828,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_300_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_300_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_313,-10.8798122,-10.3937502,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_313_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_313_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_332,-9.90895367,-10.2896032,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_332_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_332_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_358,-10.4140768,-10.3946867,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_358_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_358_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_36,-10.047102,-10.1716909,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_36_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_36_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_362,-10.5157185,-10.6960182,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_362_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_362_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_365,-10.3408003,-10.5210285,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_365_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_365_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_388,-10.1955357,-10.2904463,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_388_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_388_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_391,-10.3482819,-10.5491333,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_391_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_391_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_394,-9.7584095,-10.2033167,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_394_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_394_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_40,-10.7005301,-10.5677977,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_40_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_40_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_404,-10.8752289,-10.8856459,('A',('A',active,active,Mejores_poses/bases_conjuntas/EGFR_MAPK1_404_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_404_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
